index,s1,flh,flk,frh,frk,s2,blh,blk,brh,brk
90,0.0,4746,8962,9738,5728,0.0,5690,9682,10597,6464
89,0.0,4746,9000,9747,5748,0.0,5661,9663,10597,6455
88,0.0,4756,9039,9757,5767,0.0,5641,9663,10597,6426
87,0.0,4756,9049,9776,5796,0.0,5632,9635,10597,6388
86,0.0,4756,9078,9795,5806,0.0,5612,9606,10597,6368
85,0.0,4756,9117,9805,5835,0.0,5593,9606,10606,6340
84,0.0,4756,9146,9824,5854,0.0,5564,9578,10606,6321
83,0.0,4756,9175,9844,5874,0.0,5545,9568,10606,6282
82,0.0,4765,9194,9863,5903,0.0,5526,9549,10587,6263
81,0.0,4775,9223,9882,5912,0.0,5498,9530,10577,6234
80,0.0,4765,9243,9901,5932,0.0,5488,9502,10577,6205
79,0.0,4775,9272,9921,5961,0.0,5478,9492,10577,6186
78,0.0,4794,9301,9930,5980,0.0,5440,9473,10577,6157
77,0.0,4794,9320,9959,6000,0.0,5431,9464,10558,6138
76,0.0,4804,9339,9969,6019,0.0,5392,9436,10548,6119
75,0.0,4813,9368,9978,6029,0.0,5392,9427,10538,6090
74,0.0,4823,9397,9988,6038,0.0,5373,9397,10529,6062
73,0.0,4842,9417,10017,6067,0.0,5354,9378,10509,6033
72,0.0,4861,9436,10026,6087,0.0,5335,9368,10500,6023
71,0.0,4881,9454,10046,6116,0.0,5316,9359,10509,5994
70,0.0,4890,9473,10075,6135,0.0,5297,9339,10480,5985
69,0.0,4900,9483,10075,6145,0.0,5287,9320,10480,5966
68,0.0,4909,9521,10094,6164,0.0,5268,9301,10480,5956
67,0.0,4938,9530,10113,6184,0.0,5258,9291,10480,5927
66,0.0,4948,9540,10132,6203,0.0,5249,9272,10461,5918
65,0.0,4957,9559,10142,6232,0.0,5230,9252,10432,5898
64,0.0,4967,9587,10152,6251,0.0,5211,9243,10432,5889
63,0.0,4986,9606,10161,6261,0.0,5211,9243,10422,5879
62,0.0,5015,9616,10171,6280,0.0,5191,9213,10403,5860
61,0.0,5024,9644,10180,6309,0.0,5191,9194,10383,5850
60,0.0,5034,9663,10190,6329,0.0,5182,9175,10373,5831
59,0.0,5053,9673,10209,6338,0.0,5163,9165,10335,5812
58,0.0,5072,9682,10219,6358,0.0,5163,9146,10325,5793
57,0.0,5082,9711,10209,6377,0.0,5153,9136,10315,5764
56,0.0,5111,9720,10229,6406,0.0,5144,9126,10315,5764
55,0.0,5130,9730,10238,6426,0.0,5134,9117,10296,5755
54,0.0,5140,9739,10248,6445,0.0,5124,9097,10267,5735
53,0.0,5159,9758,10257,6464,0.0,5124,9088,10257,5726
52,0.0,5188,9777,10257,6484,0.0,5115,9068,10238,5716
51,0.0,5197,9796,10267,6513,0.0,5096,9049,10228,5697
50,0.0,5216,9796,10277,6522,0.0,5086,9020,10208,5687
