index,flh,flk,frh,frk,blh,blk,brh,brk
35,5775,9701,10417,6503,4924,8991, 9820, 5601
34,5746,9673,10417,6474,4924,9010, 9859, 5620
33,5708,9625,10408,6455,4943,9059, 9879, 5639
32,5669,9606,10408,6397,4952,9097, 9908, 5659
31,5640,9568,10388,6348,4962,9136, 9937, 5687
30,5602,9559,10369,6319,4971,9165, 9947, 5726
29,5573,9530,10350,6290,4991,9194, 9966, 5745
28,5545,9511,10331,6271,5000,9213, 9995, 5764
27,5517,9511,10302,6261,5019,9243, 10005, 5802
26,5498,9492,10282,6251,5038,9262, 10034, 5822
25,5469,9483,10263,6232,5048,9281, 10044, 5850
24,5460,9464,10254,6184,5067,9301, 10044, 5870
23,5450,9454,10234,6164,5096,9320, 10082, 5889
22,5441,9436,10215,6135,5115,9339, 10092, 5898
21,5422,9417,10215,6125,5134,9339, 10102, 5927
20,5422,9397,10215,6106,5163,9368, 10102, 5946
19,5413,9378,10196,6106,5191,9388, 10111, 5956
18,5403,9359,10186,6087,5201,9388, 10111, 5985
17,5394,9330,10167,6058,5220,9417, 10131, 5994
16,5394,9310,10157,6038,5230,9436, 10141, 6023
15,5384,9291,10128,6019,5239,9454, 10160, 6042
14,5365,9272,10109,6000,5258,9483, 10160, 6052
13,5365,9243,10090,5980,5268,9502, 10179, 6081
12,5356,9223,10071,5961,5287,9521, 10179, 6100
11,5346,9194,10032,5932,5344,9568, 10199, 6129
10,5337,9175,10023,5903,5325,9597, 10189, 6148
9,5318,9136,9994,5854,5364,9625, 10208, 6186
8,5309,9117,9974,5825,5392,9644, 10218, 6215
7,5299,9088,9946,5796,5411,9682, 10228, 6234
6,5280,9059,9917,5767,5440,9720, 10247, 6292
5,5271,9030,9897,5738,5469,9749, 10257, 6311
4,5242,8991,9849,5719,5498,9777, 10286, 6340
3,5223,8952,9830,5690,5526,9806, 10315, 6378
2,5186,8923,9792,5670,5545,9825, 10325, 6426
1,5157,8884,9772,5632,5583,9844, 10403, 6455
0,5110,8836,9705,5612,5612,9872, 10422, 6503
99,5072,8807,9686,5593,5641,9901, 10461, 6551
98,5025,8778,9657,5583,5690,9901, 10509, 6589
97,4987,8729,9618,5564,5719,9910, 10548, 6618
96,4949,8710,9580,5555,5757,9920, 10577, 6656
95,4911,8710,9551,5545,5796,9948, 10606, 6695
94,4873,8710,9512,5526,5835,9967, 10664, 6695
93,4845,8720,9474,5517,5864,9967, 10684, 6695
92,4826,8739,9455,5517,5893,9967, 10694, 6685
91,4817,8778,9436,5517,5903,9967, 10713, 6666
90,4798,8807,9436,5526,5903,9958, 10713, 6647
89,4788,8836,9455,5545,5893,9948, 10713, 6608
88,4788,8855,9464,5555,5874,9920, 10713, 6580
87,4798,8875,9493,5583,5864,9901, 10713, 6570
86,4798,8894,9512,5603,5835,9891, 10713, 6541
85,4807,8923,9551,5622,5806,9863, 10713, 6503
84,4807,8942,9715,5641,5787,9844, 10713, 6474
83,4817,8991,9589,5670,5757,9806, 10703, 6445
82,4826,9020,9618,5709,5738,9787, 10703, 6407
81,4845,9059,9638,5728,5719,9758, 10694, 6378
80,4854,9097,9647,5748,5699,9730, 10684, 6349
79,4873,9126,9666,5787,5680,9711, 10664, 6321
78,4892,9146,9686,5806,5670,9682, 10635, 6292
77,4911,9184,9705,5854,5641,9663, 10626, 6273
76,4930,9194,9724,5883,5632,9635, 10597, 6234
75,4958,9204,9734,5912,5622,9597, 10577, 6205
74,4977,9223,9743,5961,5603,9568, 10548, 6186
73,4996,9243,9753,5980,5593,9549, 10519, 6157
72,5006,9262,9772,6000,5583,9521, 10509, 6138
71,5015,9291,9772,6029,5564,9502, 10509, 6119
70,5034,9310,9782,6038,5564,9473, 10500, 6109
69,5044,9330,9801,6077,5555,9454, 10490, 6109
68,5053,9359,9811,6096,5545,9436, 10461, 6071
67,5072,9378,9820,6125,5536,9407, 10441, 6071
66,5081,9397,9830,6135,5526,9378, 10441, 6052
65,5100,9427,9830,6154,5517,9368, 10422, 6023
64,5119,9436,9840,6184,5517,9339, 10393, 6004
63,5138,9454,9849,6193,5507,9310, 10383, 5985
62,5157,9492,9859,6242,5488,9291, 10373, 5966
61,5176,9521,9869,6261,5469,9262, 10335, 5918
60,5186,9540,9878,6271,5459,9243, 10335, 5889
59,5214,9578,9897,6309,5459,9204, 10315, 5870
58,5233,9616,9907,6338,5440,9184, 10296, 5831
57,5271,9654,9907,6368,5421,9165, 10257, 5793
56,5290,9673,9926,6406,5402,9126, 10228, 5764
55,5318,9701,9946,6455,5392,9097, 10218, 5745
54,5356,9720,9965,6484,5364,9078, 10170, 5716
53,5384,9739,9984,6513,5335,9049, 10131, 5687
52,5422,9768,10032,6552,5316,9020, 10102, 5601
51,5460,9787,10071,6600,5268,8991, 10082, 5620
50,5498,9796,10100,6629,5230,8942, 10034, 5611
49,5526,9825,10148,6687,5191,8913, 9995, 5591
48,5564,9853,10177,6716,5153,8884, 9966, 5591
47,5602,9872,10215,6745,5105,8846, 9917, 5573
46,5650,9882,10254,6755,5067,8826, 9869, 5554
45,5679,9891,10254,6765,5038,8807, 9850, 5544
44,5717,9910,10331,6735,5010,8797, 9811, 5516
43,5756,9910,10350,6716,4981,8787, 9791, 5497
42,5785,9910,10369,6687,4962,8797, 9772, 5497
41,5823,9901,10408,6677,4943,8816, 9753, 5497
40,5833,9882,10408,6600,4933,8846, 9762, 5506
39,5852,9853,10417,6610,4924,8865, 9753, 5516
38,5852,9815,10417,6600,4924,8894, 9782, 5535
37,5843,9777,10417,6571,4924,8923, 9791, 5554
36,5823,9730,10417,6542,4924,8952, 9811, 5563
35,5794,9701,10417,6513,4924,8991, 9830, 5591
34,5756,9663,10408,6474,4924,9020, 9850, 5611
33,5717,9625,10408,6445,4933,9068, 9879, 5630
32,5679,9597,10398,6397,4952,9107, 9917, 5659
31,5650,9568,10379,6358,4952,9146, 9927, 5687
30,5611,9549,10359,6319,4971,9165, 9937, 5716
29,5611,9540,10350,6300,4981,9194, 9966, 5735
28,5555,9511,10331,6261,4991,9213, 9985, 5764
27,5526,9502,10311,6261,5010,9243, 10005, 5793
26,5498,9492,10292,6251,5019,9262, 10024, 5822
25,5498,9483,10282,6242,5038,9281, 10044, 5850
24,5460,9464,10244,6213,5057,9310, 10044, 5889
23,5450,9454,10225,6184,5077,9330, 10063, 5898
22,5441,9436,10205,6145,5096,9349, 10092, 5918
21,5432,9427,10205,6125,5124,9359, 10102, 5937
20,5422,9397,10196,6106,5134,9378, 10102, 5956
19,5413,9388,10177,6087,5153,9378, 10102, 5985
18,5403,9378,10167,6067,5191,9407, 10111, 5994
17,5394,9339,10157,6058,5201,9427, 10131, 6014
16,5394,9320,10148,6048,5230,9454, 10141, 6033
15,5375,9310,10128,6038,5239,9464, 10160, 6052
14,5365,9281,10071,6019,5258,9473, 10160, 6071
13,5365,9262,10090,5990,5268,9502, 10179, 6090
12,5346,9233,10071,5970,5297,9521, 10179, 6119
11,5337,9213,10042,5922,5306,9559, 10189, 6138
10,5318,9184,10032,5893,5325,9587, 10189, 6177
9,5309,9146,10003,5845,5354,9616, 10208, 6205
8,5299,9126,9974,5825,5392,9654, 10228, 6225
7,5280,9097,9955,5787,5411,9682, 10228, 6273
6,5271,9068,9926,5757,5440,9711, 10247, 6301
5,5252,9039,9897,5738,5469,9739, 10247, 6321
4,5233,9010,9859,5719,5507,9787, 10276, 6359
3,5204,8971,9830,5680,5526,9806, 10315, 6407
2,5176,8942,9801,5661,5545,9815, 10335, 6436
1,5148,8904,9753,5641,5583,9853, 10393, 6474
0,5100,8875,9724,5622,5612,9872, 10422, 6532
99,5063,8826,9657,5593,5641,9901, 10461, 6560
98,5025,8787,9657,5573,5690,9910, 10500, 6608
97,4987,8768,9609,5564,5719,9910, 10548, 6628
96,4940,8720,9570,5555,5748,9920, 10577, 6675
95,4902,8720,9532,5545,5787,9958, 10606, 6714
94,4883,8720,9503,5536,5825,9967, 10655, 6723
93,4854,8720,9455,5526,5835,9977, 10674, 6714
92,4835,8749,9417,5526,5864,9977, 10694, 6695
91,4817,8787,9397,5526,5874,9977, 10723, 6675
90,4807,8816,9397,5536,5874,9967, 10713, 6656
89,4807,8836,9407,5555,5874,9958, 10723, 6628
88,4788,8865,9417,5583,5864,9920, 10723, 6608
87,4788,8884,9445,5603,5845,9910, 10703, 6560
86,4788,8884,9493,5612,5825,9891, 10703, 6541
85,4798,8923,9512,5632,5806,9853, 10713, 6503
84,4807,8942,9551,5661,5777,9844, 10723, 6464
83,4817,8981,9570,5690,5757,9815, 10703, 6445
82,4826,9020,9609,5719,5738,9787, 10694, 6407
81,4845,9068,9628,5738,5719,9758, 10684, 6388
80,4864,9097,9676,5767,5699,9739, 10674, 6349
79,4883,9117,9657,5806,5680,9720, 10655, 6311
78,4892,9155,9676,5845,5661,9692, 10635, 6282
77,4911,9165,9705,5874,5641,9663, 10616, 6273
76,4940,9184,9715,5903,5632,9644, 10587, 6234
75,4958,9204,9734,5922,5622,9606, 10577, 6225
74,4968,9233,9734,5961,5603,9587, 10548, 6205
73,4987,9252,9753,5990,5593,9568, 10538, 6157
72,4996,9262,9763,6019,5573,9540, 10538, 6138
71,5015,9291,9782,6038,5564,9511, 10500, 6138
70,5025,9310,9782,6058,5555,9492, 10509, 6119
69,5044,9330,9801,6087,5545,9473, 10480, 6090
68,5053,9359,9811,6106,5536,9445, 10461, 6071
67,5072,9378,9820,6125,5536,9427, 10461, 6062
66,5081,9397,9830,6145,5526,9407, 10432, 6042
65,5100,9417,9830,6154,5517,9378, 10422, 6023
64,5119,9436,9840,6184,5507,9359, 10403, 6004
63,5138,9464,9849,6193,5498,9330, 10393, 5985
62,5157,9492,9849,6242,5488,9310, 10383, 5946
61,5167,9521,9869,6251,5469,9281, 10344, 5927
60,5186,9540,9869,6271,5459,9262, 10335, 5898
59,5204,9578,9897,6309,5450,9233, 10325, 5860
58,5233,9616,9897,6338,5440,9204, 10296, 5831
57,5271,9654,9907,6368,5421,9184, 10267, 5802
56,5290,9673,9926,6406,5402,9155, 10238, 5774
55,5318,9701,9946,6455,5392,9136, 10199, 5745
54,5356,9720,9965,6484,5364,9097, 10170, 5716
53,5394,9739,9994,6513,5335,9068, 10121, 5687
52,5422,9777,10032,6552,5306,9039, 10092, 5649
51,5460,9787,10071,6600,5278,9010, 10063, 5630
50,5488,9806,10100,6629,5230,8971, 10034, 5611
49,5526,9825,10148,6677,5191,8942, 9985, 5601
48,5564,9853,10186,6706,5153,8904, 9956, 5582
47,5602,9872,10215,6735,5115,8865, 9927, 5563
46,5650,9891,10263,6755,5067,8836, 9879, 5563
45,5679,9901,10302,6755,5038,8816, 9840, 5535
44,5708,9910,10331,6735,5010,8797, 9820, 5516
43,5756,9910,10350,6716,4981,8807, 9791, 5506
42,5785,9910,10359,6697,4962,8797, 9772, 5506
41,5823,9901,10398,6677,4924,8826, 9753, 5497
40,5833,9882,10408,6639,4943,8836, 9753, 5506
39,5852,9853,10408,6629,4924,8865, 9772, 5516
38,5852,9806,10417,6610,4924,8894, 9782, 5535
37,5843,9777,10417,6571,4924,8913, 9801, 5554
36,5823,9730,10417,6532,4924,8952, 9811, 5573
35,5794,9701,10417,6503,4924,8991, 9830, 5591
34,5756,9663,10417,6474,4924,9020, 9869, 5601
33,5717,9625,10417,6426,4943,9068, 9869, 5630
32,5679,9606,10398,6397,4952,9097, 9917, 5659
31,5640,9568,10379,6358,4962,9136, 9927, 5687
30,5602,9549,10369,6319,4971,9165, 9947, 5716
29,5573,9530,10350,6290,4981,9194, 9966, 5745
28,5545,9521,10331,6261,5000,9213, 9995, 5764
27,5526,9502,10302,6251,5010,9243, 9995, 5793
26,5498,9492,10292,6213,5029,9262, 10034, 5822
25,5479,9473,10263,6242,5038,9281, 10044, 5850
24,5460,9464,10244,6222,5067,9301, 10044, 5879
23,5450,9445,10225,6164,5086,9320, 10063, 5889
22,5441,9436,10215,6145,5115,9330, 10092, 5918
21,5432,9417,10215,6116,5124,9349, 10102, 5927
20,5422,9397,10205,6106,5153,9368, 10102, 5946
19,5413,9388,10186,6096,5182,9378, 10111, 5966
18,5403,9359,10177,6077,5201,9397, 10121, 5985
17,5394,9339,10167,6058,5220,9417, 10131, 5994
16,5394,9320,10157,6048,5230,9436, 10141, 6014
15,5384,9301,10138,6048,5230,9464, 10160, 6042
14,5365,9272,10119,6009,5258,9473, 10170, 6052
13,5365,9252,10090,5990,5268,9502, 10170, 6081
12,5356,9223,10071,5961,5287,9530, 10179, 6100
11,5337,9194,10042,5922,5306,9568, 10189, 6129
10,5337,9175,10023,5883,5325,9597, 10199, 6148
9,5318,9146,10003,5854,5364,9625, 10218, 6177
8,5309,9117,9974,5825,5392,9654, 10218, 6215
7,5299,9088,9946,5796,5402,9682, 10228, 6234
6,5271,9068,9917,5757,5440,9711, 10247, 6273
5,5271,9030,9897,5738,5459,9749, 10257, 6311
4,5242,8991,9869,5719,5498,9777, 10286, 6340
3,5223,8962,9830,5680,5526,9806, 10315, 6368
2,5186,8933,9782,5661,5555,9815, 10335, 6407
1,5157,8884,9753,5632,5583,9872, 10383, 6445
0,5110,8846,9724,5622,5612,9872, 10432, 6493
99,5072,8816,9695,5593,5651,9901, 10470, 6532
98,5025,8778,9657,5573,5680,9910, 10500, 6570
97,4987,8739,9618,5564,5719,9910, 10538, 6618
96,4949,8710,9580,5555,5757,9920, 10577, 6656
95,4911,8710,9532,5536,5796,9948, 10616, 6685
94,4873,8710,9503,5526,5825,9967, 10664, 6695
93,4845,8720,9474,5517,5864,9967, 10684, 6695
92,4826,8749,9445,5526,5883,9967, 10703, 6685
91,4807,8778,9427,5517,5903,9967, 10713, 6666
90,4788,8816,9436,5526,5903,9967, 10713, 6656
89,4788,8836,9436,5536,5883,9958, 10723, 6618
88,4788,8865,9464,5555,5874,9929, 10713, 6580
87,4798,8884,9484,5583,5854,9910, 10713, 6560
86,4798,8894,9512,5603,5835,9891, 10713, 6541
85,4807,8923,9541,5622,5806,9863, 10713, 6503
84,4817,8952,9570,5641,5787,9844, 10713, 6426
83,4817,8981,9589,5670,5757,9815, 10713, 6445
