blh,blk,brh,brk,flh,flk,frh,frk,index
-0.03274454716617616,0.37337756487673157,-0.24347746258197805,0.15885268876466677,-0.2317356020146678,0.14675424400303805,-0.05383078612976994,0.37885699435578907,78
-0.03593189906273008,0.3698272115019636,-0.24126292797551044,0.1636367774121341,-0.22991524290243923,0.15194822550369963,-0.05548913016418579,0.37477365667891754,79
-0.03946505016802297,0.36585472080461456,-0.23865717539892947,0.16894788427700877,-0.22768222589775436,0.15767158299889553,-0.05730269008576889,0.37022351693676614,80
-0.042977034842102066,0.3618670027227526,-0.23593352003359988,0.1742440405870051,-0.2252692507349166,0.16333822504992032,-0.05909042829757712,0.365676515224894,81
-0.04686351714827096,0.35740459567559624,-0.23278445469538248,0.1801603550019443,-0.2224258844469252,0.1696266863104554,-0.06105860525958709,0.3606128983567375,82
-0.050945309160001284,0.3526564894207886,-0.2293402800513457,0.1864972034702516,-0.21926777643444967,0.1763174947234425,-0.0631169435294556,0.35525312722584906,83
-0.055011241422486215,0.3478692792627983,-0.2257751134301036,0.19300682722557616,-0.21595581147049364,0.18314592945526506,-0.06516926666363056,0.3498783878969422,84
-0.05953101836656471,0.3424783599548584,-0.22163581449393954,0.20050203338237593,-0.21205654512653138,0.19095706422614456,-0.06755944119046305,0.34388158101462185,85
-0.06406789500503346,0.33699809120162355,-0.21728738022289149,0.2082218574550284,-0.2079064244881796,0.19895525398875946,-0.06994759149303198,0.3378163503134201,86
-0.06919946999360602,0.3307288037253317,-0.21217679606610057,0.2169788156337571,-0.20296585228909292,0.20798031586814464,-0.07262764185826036,0.33090942298924164,87
-0.07478411971380769,0.3238212449373221,-0.20649786369714537,0.22621614669232462,-0.19740220843779382,0.21745515964587606,-0.07557139651233101,0.32322559059612105,88
-0.08059712453812597,0.31651650655108915,-0.2005798195724239,0.2352610939844383,-0.19152945236963156,0.22668903460189863,-0.07874885266183479,0.31483994937282406,89
-0.08741266056151421,0.3077720331450724,-0.19376080875371607,0.24500178106214918,-0.18468438438647125,0.23658587229952052,-0.08257729713540671,0.3044534670460731,90
-0.09500680463677182,0.29777576874383044,-0.18635334985763924,0.25485478947439966,-0.17719726083234497,0.24656061994390296,-0.08691686451884016,0.29223826800551594,91
-0.10293685168345774,0.287073922927036,-0.1788019230314536,0.26424157553821204,-0.16955398875479674,0.256047409125026,-0.0915433993067679,0.2789303648719444,92
-0.11206552303291774,0.2745738789375986,-0.1702628306076021,0.2741919299554989,-0.16095635521864324,0.2661157381080611,-0.09694824825671852,0.2630852181079671,93
-0.1217346683184169,0.2611506384279426,-0.1611513619545545,0.2841449070162886,-0.15189403595467846,0.27623544491085283,-0.10281108295054586,0.24593170309276643,94
-0.13107550903351445,0.24804849108168145,-0.15202468099759803,0.2934928665695772,-0.14295691678092556,0.28581511259267817,-0.10861550990206087,0.2293339765409374,95
-0.1407591451536287,0.2343595250483204,-0.14191041162420506,0.30320346392345693,-0.13318300262750005,0.29585218344473674,-0.11483845473444086,0.21238989363866909,96
-0.14953344037789482,0.22191178883194512,-0.1319120467887171,0.31222380975194897,-0.12357640402030144,0.3052332951580042,-0.12078916650999405,0.19749881473490724,97
-0.15843422241249086,0.20943555113704307,-0.12093557867572668,0.32157052280720677,-0.1130015289604136,0.31495106796118927,-0.12749285184712905,0.18319630665977346,98
-0.15889963233332627,0.20879392602054458,-0.12034666521408588,0.32205746540947694,-0.11243188287380232,0.3154559075894812,-0.12786526718306812,0.18247081951278035,99
